orderbook_timestamp,book,bid,ask,spread
2024-07-15T08:24:26+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:26+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:27+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:27+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:28+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:28+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:29+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:29+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:30+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:30+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:32+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:32+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:33+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:33+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:34+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:34+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:35+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:35+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:36+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:36+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:38+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:37+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:39+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:39+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:37+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:40+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
